Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,SE_ADT_EDUCTRN,,,PER_100000_POP,176.5
2016,SE_ADT_EDUCTRN,,,PER_100000_POP,186.9
2017,SE_ADT_EDUCTRN,,,PER_100000_POP,195.7
2018,SE_ADT_EDUCTRN,,,PER_100000_POP,209.8
2019,SE_ADT_EDUCTRN,,,PER_100000_POP,229.6
2015,SE_ADT_EDUCTRN,,M,PER_100000_POP,117.5
2016,SE_ADT_EDUCTRN,,M,PER_100000_POP,121.0
2017,SE_ADT_EDUCTRN,,M,PER_100000_POP,125.3
2018,SE_ADT_EDUCTRN,,M,PER_100000_POP,133.4
2019,SE_ADT_EDUCTRN,,M,PER_100000_POP,143.1
2015,SE_ADT_EDUCTRN,,F,PER_100000_POP,59.0
2016,SE_ADT_EDUCTRN,,F,PER_100000_POP,65.9
2017,SE_ADT_EDUCTRN,,F,PER_100000_POP,70.4
2018,SE_ADT_EDUCTRN,,F,PER_100000_POP,76.4
2019,SE_ADT_EDUCTRN,,F,PER_100000_POP,86.5
